ts_utc,container,cpu_pct,mem_bytes,mem_pct,host
2026-09-20T23:23:54Z,egw-ditto-policies-1,14.09,533286912,66.22,egw-qemu-integrated
2026-09-20T23:23:54Z,egw-controller-1,0.89,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:54Z,egw-mosquitto-1,0.28,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-ditto-things-1,21.93,534650880,66.39,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-mongodb-1,3.05,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-ditto-gateway-1,22.96,554430464,68.85,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-ditto-policies-1,15.47,533299200,66.22,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-controller-1,0.95,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:55Z,egw-mosquitto-1,0.18,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-ditto-things-1,12.34,534646784,66.39,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-mongodb-1,2.86,254738432,47.45,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-ditto-gateway-1,12.02,554434560,68.85,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-ditto-policies-1,15.78,533319680,66.23,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-controller-1,0.86,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:56Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-ditto-things-1,15.04,534646784,66.39,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-mongodb-1,2.79,254738432,47.45,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-ditto-gateway-1,13.91,554434560,68.85,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-ditto-policies-1,21.40,533319680,66.23,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-controller-1,0.86,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:57Z,egw-mosquitto-1,0.16,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-ditto-things-1,23.00,534683648,66.40,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-mongodb-1,102.86,350789632,65.34,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-ditto-gateway-1,29.30,554483712,68.85,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-ditto-policies-1,42.71,533614592,66.26,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-controller-1,1.19,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:58Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-ditto-things-1,13.09,534683648,66.40,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-mongodb-1,117.55,404611072,75.36,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-ditto-gateway-1,28.47,554491904,68.85,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-ditto-policies-1,9.51,533360640,66.23,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-controller-1,1.02,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:59Z,egw-mosquitto-1,0.17,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-ditto-things-1,31.11,534700032,66.40,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-mongodb-1,130.45,407773184,75.95,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-ditto-gateway-1,25.16,554512384,68.86,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-ditto-policies-1,29.52,533389312,66.23,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-controller-1,1.34,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:00Z,egw-mosquitto-1,0.19,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-ditto-things-1,67.65,534798336,66.41,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-mongodb-1,128.06,414404608,77.19,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-ditto-gateway-1,30.86,554528768,68.86,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-ditto-policies-1,25.75,533454848,66.24,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-controller-1,1.10,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:01Z,egw-mosquitto-1,0.27,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-ditto-things-1,26.86,534843392,66.41,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-mongodb-1,140.40,254767104,47.45,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-ditto-gateway-1,32.66,554860544,68.90,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-ditto-policies-1,26.49,533499904,66.25,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-controller-1,0.98,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:02Z,egw-mosquitto-1,0.99,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-ditto-things-1,23.31,534863872,66.42,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-mongodb-1,1.88,254767104,47.45,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-ditto-gateway-1,27.28,554909696,68.91,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-ditto-policies-1,12.32,533508096,66.25,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-controller-1,0.95,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:03Z,egw-mosquitto-1,0.12,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-ditto-things-1,34.03,534990848,66.43,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-mongodb-1,3.17,254767104,47.45,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-ditto-gateway-1,29.75,554733568,68.88,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-ditto-policies-1,24.28,533565440,66.26,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-controller-1,11.27,57249792,21.33,egw-qemu-integrated
2026-09-20T23:24:04Z,egw-mosquitto-1,0.20,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-ditto-things-1,20.83,535015424,66.44,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-mongodb-1,18.55,255680512,47.62,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-ditto-gateway-1,20.62,554782720,68.89,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-ditto-policies-1,13.42,533577728,66.26,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-controller-1,98.24,65601536,24.44,egw-qemu-integrated
2026-09-20T23:24:05Z,egw-mosquitto-1,0.17,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-ditto-things-1,14.82,535056384,66.44,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-mongodb-1,6.65,255488000,47.59,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-ditto-gateway-1,12.60,554786816,68.89,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-ditto-policies-1,15.29,533610496,66.26,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-controller-1,100.35,67702784,25.22,egw-qemu-integrated
2026-09-20T23:24:06Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-ditto-things-1,19.37,535085056,66.44,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-mongodb-1,2.26,255488000,47.59,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-ditto-gateway-1,22.61,554799104,68.89,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-ditto-policies-1,15.84,533610496,66.26,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-controller-1,89.96,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:07Z,egw-mosquitto-1,0.11,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-ditto-things-1,15.77,535101440,66.45,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-mongodb-1,2.42,255488000,47.59,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-ditto-gateway-1,13.96,554815488,68.89,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-ditto-policies-1,8.86,533614592,66.26,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-controller-1,0.84,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:08Z,egw-mosquitto-1,0.12,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-ditto-things-1,25.81,535117824,66.45,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-mongodb-1,2.27,255488000,47.59,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-ditto-gateway-1,11.80,554815488,68.89,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-ditto-policies-1,10.10,533622784,66.26,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-controller-1,0.84,55709696,20.75,egw-qemu-integrated
2026-09-20T23:24:09Z,egw-mosquitto-1,0.11,4337664,3.23,egw-qemu-integrated
2026-09-20T23:24:10Z,egw-ditto-things-1,64.40,535158784,66.45,egw-qemu-integrated
2026-09-20T23:24:10Z,egw-mongodb-1,1.90,255488000,47.59,egw-qemu-integrated
2026-09-20T23:24:10Z,egw-ditto-gateway-1,31.50,554852352,68.90,egw-qemu-integrated
2026-09-20T23:24:10Z,egw-ditto-policies-1,65.44,533639168,66.27,egw-qemu-integrated
2026-09-20T23:24:10Z,egw-controller-1,0.98,55709696,20.75,egw-qemu-integrated
